text_length,link_count,link_density,text_density,p_tag_count,dom_depth,tag_article,tag_main,tag_score,is_content
25377,54,0.03034243606415258,98.7431906614786,0,3,0,0,0,0
72,7,0.9305555555555556,4.235294117647059,0,4,0,0,-5,0
72,6,0.9305555555555556,5.538461538461538,0,5,0,0,-5,0
78,6,0.9358974358974359,6.0,0,4,0,0,-5,0
25082,35,0.022207160513515668,120.58653846153847,0,4,0,0,5,0
311,24,0.9260450160771704,5.867924528301887,0,5,0,0,-5,0
311,24,0.9260450160771704,5.980769230769231,0,6,0,0,0,0
311,24,0.9260450160771704,6.098039215686274,0,7,0,0,5,0
24770,11,0.01085991118288252,161.8954248366013,0,5,0,0,5,1
24715,9,0.010115314586283633,168.12925170068027,0,6,0,0,0,0
24715,9,0.010115314586283633,170.44827586206895,37,7,0,0,5,0
142,6,0.5140845070422535,11.833333333333334,0,4,0,0,-5,0
142,6,0.5140845070422535,15.777777777777779,0,5,0,0,0,0
743,43,0.594885598923284,5.544776119402985,0,4,0,0,0,0
743,43,0.594885598923284,5.586466165413534,0,5,0,0,-5,0
94,1,0.09574468085106383,13.428571428571429,0,11,0,0,-5,0
94,1,0.09574468085106383,31.333333333333332,1,12,0,0,0,0
54,1,0.16666666666666666,9.0,0,11,0,0,-5,0
54,1,0.16666666666666666,27.0,0,12,0,0,0,0
77,1,0.18181818181818182,11.0,0,11,0,0,-5,0
77,1,0.18181818181818182,25.666666666666668,1,12,0,0,0,0
76,1,0.11842105263157894,12.666666666666666,0,11,0,0,-5,0
76,1,0.11842105263157894,38.0,0,12,0,0,0,0
23057,45,0.03829639588845036,107.24186046511628,0,3,0,0,5,0
239,0,0.0,19.916666666666668,0,4,0,0,0,0
239,0,0.0,21.727272727272727,0,5,0,0,0,0
239,0,0.0,23.9,0,6,0,0,5,0
239,0,0.0,59.75,0,7,0,0,5,1
239,0,0.0,79.66666666666667,2,8,0,0,0,0
22516,26,0.03219932492449813,197.50877192982455,0,4,0,0,5,0
22516,26,0.03219932492449813,199.2566371681416,0,5,0,0,0,0
22516,26,0.03219932492449813,201.03571428571428,47,6,0,0,5,0
66,0,0.0,5.5,0,4,0,0,0,0
66,0,0.0,6.0,0,5,0,0,0,0
66,0,0.0,6.6,0,6,0,0,0,0
66,0,0.0,7.333333333333333,0,7,0,0,5,0
66,0,0.0,11.0,0,8,0,0,5,0
233,19,0.6781115879828327,3.236111111111111,0,5,0,0,0,0
233,19,0.6781115879828327,3.2816901408450705,0,6,0,0,0,0
146,17,0.7534246575342466,2.7547169811320753,0,7,0,0,-5,0
86,2,0.5581395348837209,14.333333333333334,0,7,0,0,5,0
256,12,0.84375,7.111111111111111,0,4,0,0,-5,0
256,12,0.84375,7.314285714285714,0,5,0,0,-5,0
28,1,1.0,5.6,0,6,0,0,-5,0
28,1,1.0,7.0,0,7,0,0,-5,0
28,1,1.0,9.333333333333334,0,8,0,0,-5,0
212,10,0.8207547169811321,8.48,0,6,0,0,-5,0
28,2,1.0,1.8666666666666667,0,4,0,0,-5,0
28,2,1.0,2.0,0,5,0,0,-5,0
28,1,1.0,3.5,0,6,0,0,-5,0
28,1,1.0,4.0,0,7,0,0,-5,0
28,1,1.0,9.333333333333334,0,8,0,0,-5,0
52396,23,0.012749064814107947,78.67267267267268,0,3,0,1,0,0
52396,23,0.012749064814107947,78.79097744360902,0,4,0,0,0,1
968,0,0.0,80.66666666666667,0,5,0,0,0,0
968,0,0.0,88.0,0,6,0,0,0,0
968,0,0.0,107.55555555555556,0,7,0,0,0,0
968,0,0.0,121.0,0,8,0,0,0,0
913,0,0.0,152.16666666666666,3,9,0,0,5,0
51427,23,0.01298928578373228,79.24036979969183,0,5,0,0,5,0
116,0,0.0,23.2,0,6,0,0,5,0
100,0,0.0,100.0,1,7,0,0,5,0
3412,2,0.022567409144196953,58.827586206896555,0,6,0,0,5,0
3378,2,0.022794552989934873,62.55555555555556,0,7,0,0,5,0
3378,2,0.022794552989934873,63.735849056603776,22,8,0,0,5,0
511,0,0.0,46.45454545454545,0,6,0,0,5,0
470,0,0.0,67.14285714285714,0,7,0,0,5,0
470,0,0.0,78.33333333333333,2,8,0,0,5,0
1454,1,0.026822558459422285,58.16,0,6,0,0,5,0
1414,1,0.027581329561527583,67.33333333333333,0,7,0,0,5,0
1414,1,0.027581329561527583,70.7,4,8,0,0,5,0
324,0,0.0,54.0,3,9,0,0,5,0
851,0,0.0,77.36363636363636,0,6,0,0,5,0
838,0,0.0,119.71428571428571,0,7,0,0,5,0
838,0,0.0,139.66666666666666,1,8,0,0,5,0
793,0,0.0,198.25,2,9,0,0,5,0
740,0,0.0,41.111111111111114,0,6,0,0,5,0
710,0,0.0,50.714285714285715,0,7,0,0,5,0
710,0,0.0,54.61538461538461,2,8,0,0,5,0
126,0,0.0,21.0,3,9,0,0,5,0
2290,1,0.014847161572052401,73.87096774193549,0,6,0,0,5,0
2253,1,0.015090989791389259,83.44444444444444,0,7,0,0,5,0
2253,1,0.015090989791389259,86.65384615384616,3,8,0,0,5,0
354,0,0.0,59.0,3,9,0,0,5,0
887,0,0.0,110.875,4,9,0,0,5,0
41791,9,0.008877509511617334,92.66297117516629,0,6,0,0,5,0
41719,9,0.008892830604760421,93.12276785714286,2,7,0,0,5,0
13619,3,0.011381158675379983,83.5521472392638,12,8,0,0,5,0
2679,1,0.01866368047779022,86.41935483870968,12,9,0,0,5,0
806,0,0.0,134.33333333333334,3,10,0,0,5,0
121,0,0.0,30.25,1,9,0,0,5,0
3682,1,0.012764801738185769,76.70833333333333,3,9,0,0,5,0
716,0,0.0,179.0,2,10,0,0,5,0
2658,1,0.017682468021068473,80.54545454545455,4,10,0,0,5,0
545,0,0.0,60.55555555555556,3,11,0,0,5,0
753,0,0.0,188.25,2,11,0,0,5,0
554,0,0.0,138.5,2,11,0,0,5,0
4146,1,0.013989387361312108,98.71428571428571,7,9,0,0,5,0
391,0,0.0,97.75,2,10,0,0,5,0
395,0,0.0,98.75,2,10,0,0,5,0
962,1,0.060291060291060294,192.4,2,10,0,0,5,0
764,0,0.0,191.0,2,10,0,0,5,0
368,0,0.0,92.0,2,9,0,0,5,0
1084,0,0.0,135.5,3,9,0,0,5,0
27980,6,0.007719799857040743,100.28673835125448,22,8,0,0,5,0
2038,0,0.0,78.38461538461539,7,9,0,0,5,0
16986,1,0.002708112563287413,99.91764705882353,7,9,0,0,5,0
2787,0,0.0,84.45454545454545,3,10,0,0,5,0
1520,0,0.0,76.0,2,11,0,0,5,0
535,0,0.0,89.16666666666667,3,12,0,0,5,0
820,0,0.0,136.66666666666666,3,12,0,0,5,0
8908,0,0.0,123.72222222222223,0,10,0,0,5,0
2249,0,0.0,132.2941176470588,3,11,0,0,5,0
346,0,0.0,57.666666666666664,3,12,0,0,5,0
2390,0,0.0,170.71428571428572,4,11,0,0,5,0
4137,0,0.0,129.28125,3,11,0,0,5,0
596,0,0.0,149.0,2,12,0,0,5,0
2662,0,0.0,156.58823529411765,3,12,0,0,5,0
798,0,0.0,79.8,5,13,0,0,5,0
410,0,0.0,68.33333333333333,3,10,0,0,5,0
2038,0,0.0,97.04761904761905,3,10,0,0,5,0
764,0,0.0,152.8,2,11,0,0,5,0
256,0,0.0,42.666666666666664,3,11,0,0,5,0
1558,0,0.0,141.63636363636363,2,10,0,0,5,0
980,0,0.0,163.33333333333334,3,11,0,0,5,0
794,0,0.0,264.6666666666667,1,9,0,0,5,0
4615,4,0.031202600216684723,128.19444444444446,2,9,0,0,5,0
2640,3,0.037121212121212124,138.94736842105263,8,10,0,0,5,0
1390,1,0.033093525179856115,126.36363636363636,5,10,0,0,5,0
294,0,0.0,98.0,0,9,0,0,5,0
97,0,0.0,12.125,0,6,0,0,5,0
97,0,0.0,13.857142857142858,0,7,0,0,5,0
97,0,0.0,16.166666666666668,3,8,0,0,0,0
156,10,0.9423076923076923,7.428571428571429,0,6,0,0,0,0
123,6,0.34959349593495936,5.125,0,4,0,0,-5,0
502,23,0.8227091633466136,4.735849056603773,0,4,0,0,0,0
60,3,0.36666666666666664,1.6666666666666667,0,6,0,0,0,0
31,1,0.4838709677419355,2.5833333333333335,0,7,0,0,0,0
31,1,0.4838709677419355,6.2,0,8,0,0,0,0
31,1,0.4838709677419355,7.75,0,9,0,0,0,0
409,19,0.9193154034229829,7.175438596491228,0,6,0,0,0,0
409,19,0.9193154034229829,7.303571428571429,0,7,0,0,0,0
57,5,0.9298245614035088,4.75,0,8,0,0,0,0
57,5,0.9298245614035088,5.181818181818182,0,9,0,0,0,0
351,14,0.9202279202279202,8.357142857142858,0,8,0,0,0,0
351,14,0.9202279202279202,8.560975609756097,0,9,0,0,0,0
351,14,0.9202279202279202,9.0,0,10,0,0,0,0
351,14,0.9202279202279202,9.75,0,11,0,0,0,0
351,14,0.9202279202279202,10.028571428571428,0,12,0,0,0,0
335,13,0.9641791044776119,11.551724137931034,0,13,0,0,0,0
31,1,0.4838709677419355,3.875,0,5,0,0,0,0
31,1,0.4838709677419355,5.166666666666667,0,6,0,0,0,0
31,1,0.4838709677419355,6.2,0,7,0,0,0,0
31,1,0.4838709677419355,7.75,0,8,0,0,0,0
12821,37,0.056313860073317214,15.597323600973237,0,5,0,0,0,0
12148,32,0.05540006585446164,66.02173913043478,0,6,0,0,0,0
88,8,0.9318181818181818,4.0,0,7,0,0,0,0
88,8,0.9318181818181818,4.190476190476191,0,8,0,0,0,0
72,6,0.9305555555555556,5.142857142857143,0,9,0,0,0,0
72,6,0.9305555555555556,5.538461538461538,0,10,0,0,0,0
12021,24,0.049163963064636884,76.56687898089172,0,7,0,0,0,0
290,9,0.9724137931034482,12.608695652173912,0,8,0,0,0,0
290,9,0.9724137931034482,14.5,0,10,0,0,0,0
11730,15,0.026342710997442457,89.54198473282443,0,8,0,0,5,1
11730,15,0.026342710997442457,90.23076923076923,0,9,0,0,0,0
11730,15,0.026342710997442457,90.93023255813954,43,10,0,0,0,0
672,5,0.07291666666666667,1.061611374407583,0,7,0,0,0,0
672,5,0.07291666666666667,1.0632911392405062,0,8,0,0,0,0
618,0,0.0,0.9967741935483871,0,9,0,0,0,0
618,0,0.0,0.9983844911147012,0,10,0,0,0,0
618,0,0.0,1.0,0,11,0,0,0,0
610,0,0.0,1.0032894736842106,0,12,0,0,0,0
610,0,0.0,1.0049423393739703,0,13,0,0,0,0
610,0,0.0,1.009933774834437,0,14,0,0,0,0
41,1,0.24390243902439024,20.5,1,3,0,0,0,0
71,10,0.8732394366197183,2.21875,0,6,0,0,-5,0
38,7,0.8947368421052632,4.222222222222222,0,4,0,0,-5,0
119703,258,0.045337209593744515,74.11950464396284,0,3,0,0,5,0
119703,258,0.045337209593744515,74.16542750929368,0,4,0,0,5,1
66201,144,0.04749172973217927,72.03590859630033,0,5,0,0,5,0
66201,144,0.04749172973217927,72.11437908496733,95,6,0,0,0,0
40,2,0.275,6.666666666666667,0,7,0,0,0,0
28,1,0.0,14.0,0,8,0,0,0,0
35,2,0.3142857142857143,5.833333333333333,0,7,0,0,0,0
45,2,0.24444444444444444,7.5,0,7,0,0,0,0
33,1,0.0,16.5,0,8,0,0,0,0
27,2,0.4074074074074074,4.5,0,7,0,0,0,0
48,2,0.22916666666666666,8.0,0,7,0,0,0,0
36,1,0.0,18.0,0,8,0,0,0,0
47,2,0.23404255319148937,7.833333333333333,0,7,0,0,0,0
35,1,0.0,17.5,0,8,0,0,0,0
222,0,0.0,13.875,0,7,0,0,0,0
37,0,0.0,9.25,0,8,0,0,0,0
184,0,0.0,18.4,0,8,0,0,0,0
45,0,0.0,15.0,0,9,0,0,0,0
138,0,0.0,27.6,0,9,0,0,0,0
78,2,0.14102564102564102,13.0,0,7,0,0,0,0
66,1,0.0,33.0,0,8,0,0,0,0
86,2,0.12790697674418605,14.333333333333334,0,7,0,0,0,0
74,1,0.0,37.0,0,8,0,0,0,0
29,2,0.3793103448275862,4.833333333333333,0,7,0,0,0,0
39,2,0.28205128205128205,6.5,0,7,0,0,0,0
27,1,0.0,13.5,0,8,0,0,0,0
93,2,0.11827956989247312,15.5,0,7,0,0,0,0
81,1,0.0,40.5,0,8,0,0,0,0
57,2,0.19298245614035087,9.5,0,7,0,0,0,0
45,1,0.0,22.5,0,8,0,0,0,0
5856,2,0.001366120218579235,58.56,0,7,0,0,0,0
33,0,0.0,6.6,0,8,0,0,-5,0
589,0,0.0,117.8,0,8,0,0,0,0
343,0,0.0,343.0,0,9,0,0,0,0
226,0,0.0,226.0,0,9,0,0,0,0
393,0,0.0,78.6,0,8,0,0,0,0
100,0,0.0,100.0,0,9,0,0,0,0
221,0,0.0,221.0,0,9,0,0,0,0
63,0,0.0,63.0,0,9,0,0,0,0
299,0,0.0,59.8,0,8,0,0,0,0
72,0,0.0,72.0,0,9,0,0,0,0
200,0,0.0,200.0,0,9,0,0,0,0
193,0,0.0,38.6,0,8,0,0,0,0
124,0,0.0,124.0,0,9,0,0,0,0
38,0,0.0,38.0,0,9,0,0,0,0
31,0,0.0,6.2,0,8,0,0,0,0
874,0,0.0,145.66666666666666,0,8,0,0,0,0
42,0,0.0,42.0,0,9,0,0,0,0
413,0,0.0,413.0,0,9,0,0,0,0
410,0,0.0,410.0,0,9,0,0,0,0
171,0,0.0,34.2,0,8,0,0,0,0
48,0,0.0,48.0,0,9,0,0,0,0
98,0,0.0,98.0,0,9,0,0,0,0
359,0,0.0,71.8,0,8,0,0,0,0
46,0,0.0,46.0,0,9,0,0,0,0
241,0,0.0,241.0,0,9,0,0,0,0
63,0,0.0,63.0,0,9,0,0,0,0
138,0,0.0,27.6,0,8,0,0,0,0
128,0,0.0,128.0,0,9,0,0,0,0
1239,1,0.003228410008071025,103.25,0,8,0,0,0,0
48,0,0.0,48.0,0,9,0,0,0,0
1144,1,0.0034965034965034965,163.42857142857142,0,9,0,0,0,0
38,0,0.0,38.0,0,9,0,0,0,0
1221,1,0.003276003276003276,93.92307692307692,0,8,0,0,0,0
30,0,0.0,30.0,0,9,0,0,0,0
1144,1,0.0034965034965034965,143.0,0,9,0,0,0,0
38,0,0.0,38.0,0,9,0,0,0,0
281,0,0.0,56.2,0,8,0,0,0,0
236,0,0.0,236.0,0,9,0,0,0,0
92,2,0.11956521739130435,15.333333333333334,0,7,0,0,0,0
80,1,0.0,40.0,0,8,0,0,0,0
38,2,0.2894736842105263,6.333333333333333,0,7,0,0,0,0
26,1,0.0,13.0,0,8,0,0,0,0
61,2,0.18032786885245902,10.166666666666666,0,7,0,0,0,0
49,1,0.0,24.5,0,8,0,0,0,0
54,2,0.2037037037037037,9.0,0,7,0,0,0,0
42,1,0.0,21.0,0,8,0,0,0,0
42,2,0.2619047619047619,7.0,0,7,0,0,0,0
30,1,0.0,15.0,0,8,0,0,0,0
53455,114,0.04270882050322701,77.92274052478135,0,5,0,0,5,0
53455,114,0.04270882050322701,78.03649635036497,78,6,0,0,0,0
40,2,0.275,6.666666666666667,0,7,0,0,0,0
28,1,0.0,14.0,0,8,0,0,0,0
35,2,0.3142857142857143,5.833333333333333,0,7,0,0,0,0
45,2,0.24444444444444444,7.5,0,7,0,0,0,0
33,1,0.0,16.5,0,8,0,0,0,0
27,2,0.4074074074074074,4.5,0,7,0,0,0,0
48,2,0.22916666666666666,8.0,0,7,0,0,0,0
36,1,0.0,18.0,0,8,0,0,0,0
47,2,0.23404255319148937,7.833333333333333,0,7,0,0,0,0
35,1,0.0,17.5,0,8,0,0,0,0
146,0,0.0,12.166666666666666,0,7,0,0,0,0
37,0,0.0,9.25,0,8,0,0,0,0
108,0,0.0,18.0,0,8,0,0,0,0
29,0,0.0,14.5,0,9,0,0,0,0
78,0,0.0,39.0,0,9,0,0,0,0
78,2,0.14102564102564102,13.0,0,7,0,0,0,0
66,1,0.0,33.0,0,8,0,0,0,0
86,2,0.12790697674418605,14.333333333333334,0,7,0,0,0,0
74,1,0.0,37.0,0,8,0,0,0,0
29,2,0.3793103448275862,4.833333333333333,0,7,0,0,0,0
39,2,0.28205128205128205,6.5,0,7,0,0,0,0
27,1,0.0,13.5,0,8,0,0,0,0
93,2,0.11827956989247312,15.5,0,7,0,0,0,0
81,1,0.0,40.5,0,8,0,0,0,0
57,2,0.19298245614035087,9.5,0,7,0,0,0,0
45,1,0.0,22.5,0,8,0,0,0,0
3173,0,0.0,40.164556962025316,0,7,0,0,0,0
33,0,0.0,6.6,0,8,0,0,-5,0
589,0,0.0,117.8,0,8,0,0,0,0
343,0,0.0,343.0,0,9,0,0,0,0
226,0,0.0,226.0,0,9,0,0,0,0
305,0,0.0,61.0,0,8,0,0,0,0
100,0,0.0,100.0,0,9,0,0,0,0
150,0,0.0,150.0,0,9,0,0,0,0
46,0,0.0,46.0,0,9,0,0,0,0
82,0,0.0,16.4,0,8,0,0,0,0
72,0,0.0,72.0,0,9,0,0,0,0
179,0,0.0,35.8,0,8,0,0,0,0
124,0,0.0,124.0,0,9,0,0,0,0
31,0,0.0,6.2,0,8,0,0,0,0
869,0,0.0,144.83333333333334,0,8,0,0,0,0
42,0,0.0,42.0,0,9,0,0,0,0
416,0,0.0,416.0,0,9,0,0,0,0
402,0,0.0,402.0,0,9,0,0,0,0
171,0,0.0,34.2,0,8,0,0,0,0
48,0,0.0,48.0,0,9,0,0,0,0
98,0,0.0,98.0,0,9,0,0,0,0
344,0,0.0,68.8,0,8,0,0,0,0
46,0,0.0,46.0,0,9,0,0,0,0
241,0,0.0,241.0,0,9,0,0,0,0
48,0,0.0,48.0,0,9,0,0,0,0
138,0,0.0,27.6,0,8,0,0,0,0
128,0,0.0,128.0,0,9,0,0,0,0
141,0,0.0,28.2,0,8,0,0,0,0
48,0,0.0,48.0,0,9,0,0,0,0
66,0,0.0,66.0,0,9,0,0,0,0
257,0,0.0,51.4,0,8,0,0,0,0
30,0,0.0,30.0,0,9,0,0,0,0
213,0,0.0,213.0,0,9,0,0,0,0
92,2,0.11956521739130435,15.333333333333334,0,7,0,0,0,0
80,1,0.0,40.0,0,8,0,0,0,0
61,2,0.18032786885245902,10.166666666666666,0,7,0,0,0,0
49,1,0.0,24.5,0,8,0,0,0,0
46,2,0.2391304347826087,7.666666666666667,0,7,0,0,0,0
34,1,0.0,17.0,0,8,0,0,0,0
42,2,0.2619047619047619,7.0,0,7,0,0,0,0
30,1,0.0,15.0,0,8,0,0,0,0
77,15,0.9090909090909091,1.8333333333333333,0,3,0,0,-5,0
77,15,0.9090909090909091,1.8780487804878048,0,4,0,0,0,0
221,12,0.7601809954751131,6.5,0,4,0,0,-5,0
276,19,0.6920289855072463,2.845360824742268,0,4,0,0,0,0
60,3,0.36666666666666664,1.6666666666666667,0,6,0,0,0,0
31,1,0.4838709677419355,2.5833333333333335,0,7,0,0,0,0
31,1,0.4838709677419355,6.2,0,8,0,0,0,0
31,1,0.4838709677419355,7.75,0,9,0,0,0,0
183,15,0.8415300546448088,3.8125,0,6,0,0,0,0
183,15,0.8415300546448088,3.893617021276596,0,7,0,0,0,0
57,5,0.9298245614035088,4.75,0,8,0,0,0,0
57,5,0.9298245614035088,5.181818181818182,0,9,0,0,0,0
125,10,0.808,3.787878787878788,0,8,0,0,0,0
125,10,0.808,3.90625,0,9,0,0,0,0
125,10,0.808,4.166666666666667,0,10,0,0,0,0
125,10,0.808,4.62962962962963,0,11,0,0,0,0
125,10,0.808,4.8076923076923075,0,12,0,0,0,0
109,9,0.926605504587156,5.45,0,13,0,0,0,0
31,1,0.4838709677419355,3.875,0,5,0,0,0,0
31,1,0.4838709677419355,5.166666666666667,0,6,0,0,0,0
31,1,0.4838709677419355,6.2,0,7,0,0,0,0
31,1,0.4838709677419355,7.75,0,8,0,0,0,0
90269,336,0.0882916615892499,46.26806765761148,0,5,0,0,0,0
89579,331,0.0884247424061443,68.22467631378522,0,6,0,0,0,0
88,8,0.9318181818181818,4.0,0,7,0,0,0,0
88,8,0.9318181818181818,4.190476190476191,0,8,0,0,0,0
72,6,0.9305555555555556,5.142857142857143,0,9,0,0,0,0
72,6,0.9305555555555556,5.538461538461538,0,10,0,0,0,0
89452,323,0.08763359119974959,69.55832037325038,0,7,0,0,0,0
388,17,0.9587628865979382,9.948717948717949,0,8,0,0,0,0
388,17,0.9587628865979382,10.777777777777779,0,10,0,0,0,0
89063,306,0.08383952932194065,71.59405144694534,0,8,0,0,5,1
692,2,0.07803468208092486,46.13333333333333,0,10,0,0,0,0
692,2,0.07803468208092486,49.42857142857143,3,11,0,0,0,0
83,1,0.30120481927710846,13.833333333333334,0,12,0,0,0,0
83,1,0.30120481927710846,20.75,3,13,0,0,0,0
61,2,0.47540983606557374,8.714285714285714,0,10,0,0,0,0
61,2,0.47540983606557374,10.166666666666666,0,11,0,0,0,0
330,12,0.9393939393939394,12.692307692307692,0,10,0,0,0,0
330,12,0.9393939393939394,13.2,0,11,0,0,0,0
32,1,1.0,32.0,0,12,0,0,0,0
31,1,1.0,31.0,0,12,0,0,0,0
37,1,1.0,37.0,0,12,0,0,0,0
26,1,1.0,26.0,0,12,0,0,0,0
40,1,1.0,40.0,0,12,0,0,0,0
25,1,1.0,25.0,0,12,0,0,0,0
1261,3,0.02775574940523394,78.8125,0,10,0,0,0,0
1261,3,0.02775574940523394,84.06666666666666,3,11,0,0,0,0
6287,36,0.15269603944647686,67.60215053763442,0,10,0,0,0,0
6287,36,0.15269603944647686,68.33695652173913,16,11,0,0,0,0
5230,17,0.07036328871892926,75.79710144927536,0,10,0,0,0,0
5230,17,0.07036328871892926,76.91176470588235,2,11,0,0,0,0
5081,29,0.13678409761857901,37.917910447761194,0,10,0,0,0,0
5081,29,0.13678409761857901,38.203007518796994,9,11,0,0,0,0
849,2,0.13191990577149587,106.125,0,12,0,0,0,0
849,2,0.13191990577149587,169.8,2,13,0,0,0,0
314,2,0.1178343949044586,39.25,0,12,0,0,0,0
314,2,0.1178343949044586,62.8,2,13,0,0,0,0
120,1,0.125,17.142857142857142,0,12,0,0,0,0
120,1,0.125,30.0,2,13,0,0,0,0
168,1,0.1488095238095238,24.0,0,12,0,0,0,0
168,1,0.1488095238095238,42.0,2,13,0,0,0,0
272,1,0.27205882352941174,38.857142857142854,0,12,0,0,0,0
272,1,0.27205882352941174,68.0,2,13,0,0,0,0
304,1,0.05592105263157895,43.42857142857143,0,12,0,0,0,0
304,1,0.05592105263157895,76.0,2,13,0,0,0,0
117,1,0.1282051282051282,16.714285714285715,0,12,0,0,0,0
117,1,0.1282051282051282,29.25,2,13,0,0,0,0
121,1,0.15702479338842976,17.285714285714285,0,12,0,0,0,0
121,1,0.15702479338842976,30.25,2,13,0,0,0,0
3975,12,0.08327044025157233,90.3409090909091,0,10,0,0,0,0
3975,12,0.08327044025157233,92.44186046511628,9,11,0,0,0,0
1268,2,0.025236593059936908,84.53333333333333,0,10,0,0,0,0
1268,2,0.025236593059936908,90.57142857142857,2,11,0,0,0,0
587,6,0.23509369676320271,20.24137931034483,0,10,0,0,0,0
587,6,0.23509369676320271,20.964285714285715,3,11,0,0,0,0
1469,7,0.08441116405718176,81.61111111111111,0,10,0,0,0,0
1469,7,0.08441116405718176,86.41176470588235,3,11,0,0,0,0
35331,107,0.08360929495344033,77.65054945054945,0,10,0,0,0,0
35331,107,0.08360929495344033,77.8215859030837,10,11,0,0,0,0
2049,3,0.04441190824792582,113.83333333333333,2,15,0,0,0,0
1794,13,0.20457079152731328,69.0,1,15,0,0,0,0
851,0,0.0,77.36363636363636,1,15,0,0,0,0
1760,0,0.0,103.52941176470588,5,15,0,0,0,0
1794,13,0.20457079152731328,69.0,1,15,0,0,0,0
1014,0,0.0,78.0,1,15,0,0,0,0
1042,0,0.0,115.77777777777777,2,15,0,0,0,0
1794,13,0.20457079152731328,69.0,1,15,0,0,0,0
1158,0,0.0,105.27272727272727,1,15,0,0,0,0
1767,0,0.0,84.14285714285714,5,15,0,0,0,0
1794,13,0.20457079152731328,69.0,1,15,0,0,0,0
1242,0,0.0,95.53846153846153,1,15,0,0,0,0
1011,0,0.0,101.1,2,15,0,0,0,0
1794,13,0.20457079152731328,69.0,1,15,0,0,0,0
1228,0,0.0,81.86666666666666,1,15,0,0,0,0
759,0,0.0,84.33333333333333,2,15,0,0,0,0
1794,13,0.20457079152731328,69.0,1,15,0,0,0,0
669,0,0.0,60.81818181818182,1,15,0,0,0,0
2815,1,0.004262877442273535,148.1578947368421,5,15,0,0,0,0
1794,13,0.20457079152731328,69.0,1,15,0,0,0,0
1616,1,0.01608910891089109,89.77777777777777,1,15,0,0,0,0
1161,2,0.023255813953488372,82.92857142857143,0,10,0,0,0,0
1161,2,0.023255813953488372,89.3076923076923,3,11,0,0,0,0
1481,20,0.36934503713706957,29.62,0,10,0,0,0,0
1481,20,0.36934503713706957,30.224489795918366,3,11,0,0,0,0
24829,49,0.034757742961859114,111.34080717488789,0,10,0,0,0,0
24829,49,0.034757742961859114,111.84234234234235,71,11,0,0,0,0
689,5,0.07111756168359942,1.0884676145339653,0,7,0,0,0,0
689,5,0.07111756168359942,1.0901898734177216,0,8,0,0,0,0
635,0,0.0,1.0241935483870968,0,9,0,0,0,0
635,0,0.0,1.0258481421647818,0,10,0,0,0,0
635,0,0.0,1.0275080906148868,0,11,0,0,0,0
610,0,0.0,1.0032894736842106,0,12,0,0,0,0
610,0,0.0,1.0049423393739703,0,13,0,0,0,0
610,0,0.0,1.009933774834437,0,14,0,0,0,0
9940,59,0.0869215291750503,31.858974358974358,0,3,0,0,0,0
27,5,0.9629629629629629,0.7297297297297297,0,5,0,0,0,0
27,4,0.9629629629629629,1.08,0,7,0,0,0,0
96,7,0.9375,5.052631578947368,0,5,0,0,-5,0
36,3,0.9444444444444444,6.0,0,7,0,0,-5,0
47,3,0.9574468085106383,7.833333333333333,0,7,0,0,-5,0
87,0,0.0,5.4375,0,5,0,0,0,0
62,0,0.0,5.166666666666667,0,6,0,0,5,0
31,0,0.0,6.2,0,7,0,0,0,0
31,0,0.0,7.75,0,8,0,0,0,0
30,0,0.0,6.0,0,7,0,0,0,0
30,0,0.0,7.5,0,8,0,0,0,0
50,4,0.94,2.9411764705882355,0,5,0,0,0,0
50,4,0.94,3.125,0,6,0,0,0,0
50,4,0.94,3.3333333333333335,0,7,0,0,0,0
50,4,0.94,3.5714285714285716,0,8,0,0,0,0
50,4,0.94,3.8461538461538463,0,9,0,0,0,0
35,3,0.9428571428571428,5.0,0,10,0,0,0,0
153,1,0.1111111111111111,30.6,0,5,0,0,0,0
140,1,0.12142857142857143,46.666666666666664,1,6,0,0,0,0
9522,42,0.07183364839319471,45.127962085308056,0,4,0,0,5,0
9377,40,0.06974512104084463,48.838541666666664,0,5,0,0,5,0
9377,40,0.06974512104084463,49.09424083769633,0,6,0,0,0,0
9377,40,0.06974512104084463,49.35263157894737,0,7,0,0,0,0
9208,37,0.06461772371850565,53.53488372093023,0,8,0,0,5,0
9055,35,0.053451131971286585,58.044871794871796,0,9,1,0,5,0
9007,35,0.053735983124236705,61.27210884353742,0,10,0,0,5,1
8953,35,0.05406009158941137,61.744827586206895,0,11,0,0,5,0
8953,35,0.05406009158941137,62.173611111111114,25,12,0,0,0,0
1176,0,0.0,196.0,2,13,0,0,0,0
47,0,0.0,6.714285714285714,0,10,0,0,5,0
47,0,0.0,7.833333333333333,0,11,0,0,5,0
47,0,0.0,9.4,0,12,0,0,0,0
152,2,0.7302631578947368,10.857142857142858,0,9,0,0,0,0
37,0,0.0,18.5,0,10,0,0,-5,0
114,2,0.9736842105263158,11.4,0,10,0,0,0,0
61,0,0.0,30.5,0,12,0,0,0,0
52,0,0.0,26.0,0,12,0,0,0,0
168,3,0.35119047619047616,10.5,0,8,0,0,0,0
163,3,0.3619631901840491,12.538461538461538,0,9,0,0,-5,0
163,3,0.3619631901840491,16.3,0,10,0,0,0,0
